Unnamed: 0,Product,Type,Release Date,Process Size,TDP,Die Size,Transistors,Freq,Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
432,Intel Core i7-9700KF,CPU,2019-01-08,14.0,95.0,,,3600.0,Intel,Intel,,,
2902,AMD Radeon RX 470 Mobile,GPU,2016-08-04,14.0,85.0,232.0,5700.0,926.0,GF,AMD,4399.0,4399.0,274.9
289,Intel Pentium 4 2.80,CPU,2002-08-25,130.0,110.0,146.0,55.0,2793.0,Intel,Intel,,,
2591,NVIDIA GeForce 6800 GT,GPU,2004-06-08,130.0,67.0,287.0,222.0,350.0,TSMC,NVIDIA,,,
4129,NVIDIA Quadro FX 380M,GPU,2010-01-07,40.0,25.0,57.0,260.0,606.0,TSMC,NVIDIA,,46.98,
977,Intel Pentium 4 1.6,CPU,2001-08-27,180.0,61.0,217.0,42.0,1600.0,Intel,Intel,,,
535,Intel Xeon Phi 7295,CPU,2017-12-01,14.0,320.0,,8000.0,1500.0,Intel,Intel,,,
1480,AMD Athlon 64 3800+,CPU,2004-06-01,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,
188,Intel Core i7-5650U,CPU,2015-03-01,14.0,15.0,,,2200.0,Intel,Intel,,,
1665,AMD Opteron X2 165,CPU,2005-08-02,90.0,110.0,,233.0,1800.0,Unknown,AMD,,,
3455,ATI FireGL 9500 Z1-128,GPU,2002-10-01,150.0,,215.0,110.0,325.0,TSMC,ATI,,,
2787,Intel Iris Pro Graphics P580,GPU,2015-09-01,14.0,15.0,,,350.0,Intel,Intel,2304.0,1152.0,288.0
279,Intel Core 2 Duo T5600,CPU,2006-07-27,65.0,35.0,143.0,,1833.0,Intel,Intel,,,
366,AMD EPYC 7232P,CPU,2019-08-07,7.0,120.0,74.0,3800.0,3100.0,TSMC,AMD,,,
3717,AMD Radeon HD 8670A,GPU,2013-02-02,28.0,45.0,56.0,690.0,600.0,TSMC,AMD,,384.0,24.0
896,AMD FX-4120,CPU,2012-10-23,32.0,95.0,315.0,1200.0,3900.0,Unknown,AMD,,,
1964,Intel Atom Z600,CPU,2010-05-04,45.0,1.0,65.0,140.0,1200.0,Intel,Intel,,,
270,Intel Core i7-990X,CPU,2011-02-24,32.0,130.0,239.0,1170.0,3466.0,Intel,Intel,,,
889,Intel Core i3-7340,CPU,2017-07-17,14.0,51.0,,,4200.0,Intel,Intel,,,
1504,AMD A6-9500E,CPU,2017-07-27,28.0,35.0,246.0,1178.0,3000.0,Unknown,AMD,,,
3872,ATI Radeon DDR VIVO,GPU,2001-08-14,180.0,,115.0,30.0,183.0,TSMC,ATI,,,
2458,AMD Radeon HD 7510 OEM,GPU,2013-02-01,40.0,39.0,118.0,716.0,650.0,TSMC,AMD,,416.0,
2794,Matrox Millennium G550 PCIe,GPU,2001-11-26,180.0,,,10.0,125.0,UMC,Other,,,
3676,Intel i852GM Graphics,GPU,2003-12-03,130.0,,,,200.0,Intel,Intel,,,
1220,Intel Core i7-8700K,CPU,2017-10-05,14.0,95.0,154.0,,3700.0,Intel,Intel,,,
3509,NVIDIA GeForce GT 625M,GPU,2012-10-01,28.0,15.0,116.0,585.0,625.0,TSMC,NVIDIA,,240.0,20.0
